project_name,updated_project_name
Mokelumne River - MRDUA Large Floodplain Project,Mokelumne River Day Use Area Large Floodplain Project
Mokelumne River - Gravel Maintenance Project - Early Implementation Projects,Mokelumne River Gravel Maintenance Project - Early Implementation
Mokelumne River - Floodplain Restoration Projects - Early Implementation Projects,Mokelumne River Floodplain Restoration Project - Early Implementation
Mokelumne River - CE Large Floodplain Restoration Project,Mokelumne River Conservation Easement Large Floodplain Restoration Project
Mokelumne River - In Channel Rearing Habitat Restoration Project,Mokelumne River In-Channel Rearing Habitat Restoration Project
Mokelumne River - Gravel Maintenance Project – Current and Future Maintenance Projects,Mokelumne River Gravel Maintenance Project
