project_name,updated_project_name
McCormick-Williamson Tract (MWT) Monitoring Project (Phase B),McCormack-Williamson Tract - Phase B
Dutch Slough Tidal Restoration Project (Phase 2),Dutch Slough Tidal Restoration Project - Phase 2
P68 Feather River Salmon Habitat Improvement Project,Feather River Salmonid Spawning Habitat Improvement - P68
